even give,2
however issue,3
mainly target,1
ethnically divide,1
proliferate across,4
will offer,1
already charge,2
far arrest,2
early hour,1
occur near,12
celebrate per,2
injure include,1
kill along,2
plant inside,1
find along,2
hide near,2
say behind,1
still slap,3
recently reconstruct,2
char beyond,1
crowd near,2
step across,9
occur around,81
tow accord,2
may kill,4
highly place,4
immediately relate,1
currently verify,4
step around,1
now remain,4
proceed across,1
strike near,1
still threaten,1
will conduct,8
detonate around,4
ak along,4
especially hail,2
counter guard,1
express follow,3
safely win,1
seriously injured,32
report beyond,8
will triumph,2
meanwhile draw,2
explode near,38
strongly condemn,10
blast near,1
fear since,40
behind reach,34
still place,2
contribution towards,1
act include,2
address follow,2
simultaneously take,2
tow along,2
will research/organization,3
admit along,1
question follow,2
normally leave,1
may throw,12
kill around,4
say accord,4
say around,22
act within,2
rush accord,4
park around,1
location around,1
explode heat,1
well transfer,8
find near,2
accidentally go,2
punish without,6
piece together,2
meticulously plan,2
present near,2
say past,4
down aircraft,4
still busy,1
may feel,4
soon tell,2
injure behind,3
plant along,8
reportedly want,2
still grope,10
group like,4
explode bomb,2
admit back,4
reason behind,1
later shift,2
stay around,1
recover inside,2
express near,2
shoot near,4
apparently target,1
occur within,4
closely monitor,4
completely unaware,3
fast track,8
wait near,1
may plant,1
probably die,1
moscow/location assure,4
remain like,1
away damage,4
bury near,1
still abscond,4
withdraw top,8
discover civilian,1
flow around,2
really help,2
die along,2
happen around,2
travel back,2
injured explosion,4
purportedly disclose,1
terrorism beneath,2
explode within,1
hastily place,2
come around,2
function along,1
plant explosive,1
suspect behind,12
first plant,1
beef along,8
put back,1
hang inside,1
provide accord,4
closely vision,1
twin blast,2
just move,8
often dub,2
take a.m.,2
will visit,4
will gear,1
pick follow,4
might carry,2
improve upon,1
may rock,2
will carry,2
actually defuse,2
evade later,1
least injure,1
purportedly make,4
get near,2
mill around,1
get back,2
regard now,6
however remain,2
just create,4
allegedly provide,4
hospital include,2
target accord,2
kill within,2
rock around,2
recover near,5
immediately put,1
limit outside,4
accuse incident,8
still lookout,4
place within,8
away smoke,4
make headway,1
vanish accord,2
plant near,1
immediately hang,1
synchronise behind,4
sleep include,1
find follow,2
go around,2
completely shatter,4
however warn,8
say near,3
disrupt follow,8
hear near,2
now bind,2
will take,1
trigger inside,2
convict commute,1
well plan,2
rock despite,4
interrogate till,1
best save,8
hence surrender,2
descend v.,2
just pull,16
however allow,2
arrive behind,2
reportedly kill,8
might target,1
legally bind,2
even windowpane,16
rip away,16
expert follow,4
suggest past,1
rush towards,4
seek ago,1
detonate along,2
die include,4
recently ms.,6
may ambush,2
likely bring,1
report among,8
disclose along,2
interrogate follow,1
injure along,2
serial blast,1
cause within,2
come per,2
use behind,2
entirely solve,4
still haunt,2
stumble upon,8
go behind,20
sound across,4
may go,4
spot near,1
yet take,13
kill across,8
go include,2
particularly trigger,4
focus mastermind,4
sunday around,1
intensify near,1
now admit,2
later hold,1
possibly use,2
soon evening,2
remain except,1
completely destroy,6
desperately want,1
however plead,4
occur include,4
die around,2
yet trace,4
religiously divide,1
leave within,2
hit back,2
far reveal,8
yet grope,10
report warn,4
limit near,2
happen despite,2
suddenly become,2
loan recently,1
soon reach,34
later visit,1
meanwhile succumb,2
may name,4
will arrive,1
allegedly make,2
providentially go,6
area behind,2
reportedly seek,2
will evolve,1
recently sentence,1
nitrate like,16
lakshmi/person along,1
shift around,4
bear past,4
allegedly plant,1
retire behind,8
state include,1
hence express,2
hence buy,1
gather around,2
first take,6
accuse currently,8
extend till,1
already begin,4
go within,3
immediately fail,2
demand security,1
build around,1
discover near,2
flow like,2
later make,3
swirl around,8
surprisingly invite,8
almost overshadow,8
still undergo,1
however take,2
come near,8
far emerge,2
yet approach,4
go near,2
later condition,6
say notwithstanding,4
go inside,4
claim responsibility,8
ago raid,2
quite time,1
precariously make,2
instead target,6
watch accord,1
find inside,1
