injury,2
remand,45
gather,12
reschedule,1
add,10
trickle,4
attari,1
scamper,4
wait,10
decease,4
maintain,24
sport,2
suggest,16
frustrate,2
hit,14
rue,1
ride,2
seem,4
decide,5
revisit,1
get,36
include,1
raise,26
spike,2
assure,4
detonate,12
face,6
avenge,8
purchase,2
blame,7
mushroom,1
plant,19
spread,2
quell,8
throng,7
rush,26
hotelier,1
step,13
detain,20
ram,4
attend,20
fail,2
declare,2
turn,8
land,1
play,4
trust,1
entail,1
rise,3
contact,1
dr.,1
ignore,48
trigger,54
assist,9
shout,1
martyr,8
=,2
smuggle,2
quote,2
bind,8
learn,8
exonerate,8
metre,3
shake,11
celebrate,9
mourn,1
refer,1
result,9
burst,2
procure,1
forward,4
act,17
manufacture,17
express,42
plague,4
assess,3
swell,10
criticise,1
operate,3
affect,2
succumb,9
probe,23
pay,2
live,6
resume,1
schedule,4
produce,46
fly,20
point,12
plot,3
stop,2
send,26
resolve,3
serve,4
question,37
lash,2
wreck,4
loan,1
condition,6
pass,8
three,1
search,2
ban,3
monitor,4
condole,3
escort,10
pursue,2
help,2
launch,34
extort,2
13,2
favour,1
litter,4
collect,5
achieve,8
busy,1
hurl,6
request,6
hang,3
cock,1
surrender,2
issue,6
speak,12
s.ve,1
make,80
say,100
carry,77
crowd,7
identify,23
ms.,6
down,2
contain,9
underline,2
spend,2
provide,51
view,2
teem,4
want,38
interrogate,5
accuse,70
treat,2
outlaw,1
trace,4
transfer,10
venerate,1
exchange,2
keep,12
use,31
belong,4
coincide,2
put,18
happen,7
promote,4
work,42
charge,5
smoke,4
delhi.the,2
two,2
open,4
piece,2
visit,22
hatch,4
hour,1
close,2
r,3
eldest,1
resort,1
convene,4
regard,7
strike,52
display,6
represent,5
receive,38
recruit,1
pile,2
derail,40
aggravate,2
reconstruct,2
try,45
gange,2
mr.,4
amount,1
protest,2
destroy,13
attack,8
five,3
hold,6
jump,1
surface,6
tackle,2
engage,2
border,2
seize,19
pledge,1
deal,1
slam,1
blast,18
warn,15
reveal,14
undergo,17
undermine,4
stand,14
s.,2
head,5
explode,71
consist,1
church,1
haunt,3
empower,4
lob,8
huddle,2
offer,4
lookout,4
beef,3
save,8
gut,1
defuse,18
assam,1
lose,8
direct,8
hear,6
break,6
invite,14
proceed,1
ascertain,1
book,7
condemn,43
convict,1
arrest,75
analyse,4
threaten,3
accord,6
wall,1
travel,9
address,2
extend,6
enter,3
damage,7
sentence,1
glean,4
fire,6
care,12
iron,4
mention,1
bust,1
buy,1
spearhead,2
ask,38
miss,5
approve,2
convey,1
determine,3
pour,2
present,4
assemble,8
inform,1
show,1
win,1
cliam,8
build,10
answer,1
conceal,1
wound,15
believe,10
lodge,3
regain,4
descend,2
hoodwink,1
observe,1
unaware,3
inspect,10
adopt,2
appeal,6
shop,1
reconsider,4
alert,4
evoke,1
appear,10
obtain,19
weigh,2
mr,2
commute,1
dub,2
register,3
defeat,1
restore,5
fault,2
switch,8
disclose,1
move,14
confirm,3
avert,12
track,8
block,1
crop,2
remain,42
continue,1
grill,2
execute,7
flash,2
plan,4
suffer,6
dynamite,1
catch,2
tighten,2
link,3
rig,3
ultra,2
shot,2
re-christen,2
solve,4
rake,1
fall,4
pose,20
leave,73
scramble,2
allow,2
march,6
screen,2
place,42
run,7
man,1
give,18
inflict,1
know,1
team,3
sneak,4
see,11
impose,5
perform,2
reach,67
conclude,1
rampage,2
allege,53
employ,2
alia,14
apply,1
abscond,4
control,2
throw,4
crack,3
oppose,4
vow,8
blow,9
stay,6
call,20
come,49
rock,64
pack,36
bring,109
evacuate,4
watch,6
penetrate,1
enquire,1
conquer,4
manage,2
form,4
despatch,3
round,6
join,10
demand,25
indicate,32
stage,3
guard,1
slap,3
resist,2
read,9
hand,9
reign,1
retract,4
rip,65
strand,3
explain,2
insist,1
arrive,10
sweep,4
target,35
bombard,1
write,4
grant,7
think,1
acquire,2
pick,10
lift,16
attempt,2
rank,2
complete,12
stress,1
claim,55
force,4
lay,16
set,10
evening,2
own,11
verify,4
echo,4
constitute,3
prevent,3
raid,3
surround,2
hoist,2
wish,16
divulge,1
dump,2
strengthen,9
comprise,2
approach,5
rent,1
state,15
recce,8
alight,1
prompt,1
injured,33
proclaim,1
deny,10
lynch,2
sell,1
establish,9
india,10
follow,5
wear,2
withdraw,8
cadre,2
announce,4
nagar.police,4
die,22
discover,3
sim,4
lend,2
vision,1
deploy,2
occur,26
incriminate,4
combate,2
teacher,2
pull,16
escape,4
thwart,4
mount,15
need,8
seek,23
focus,16
prevail,5
prefer,1
recover,54
regret,1
span,2
bomb,4
sound,56
abandon,1
initiate,8
await,3
handle,2
submit,4
thin,16
abolish,2
lead,68
rule,3
tear,1
sustain,3
indulge,4
record,2
expose,3
meet,12
tell,76
hinder,1
shift,2
check,4
file,44
create,24
start,23
fear,9
cause,21
report,16
nab,1
share,8
grope,18
emerge,2
plead,4
urge,2
suspect,9
envisage,1
relate,5
wake,8
return,2
disrupt,9
writhe,10
pray,2
increase,1
earlier,2
dispose,6
deliver,1
look,4
decision,1
overshadow,8
become,74
organise,5
kill,369
fight,1
participate,1
time,1
constable,4
attain,6
admit,25
station,4
afp,4
hail,2
ensure,2
irk,1
release,8
originate,1
ambush,3
evade,1
divide,2
cyber,1
settle,8
preserve,2
find,51
examine,4
politicise,2
conduct,10
windowpane,16
feel,10
investigate,11
begin,8
injure,95
shatter,4
take,285
fit,8
retaliate,16
award,3
refuse,3
love,2
lie,12
powerful,1
mishandle,1
post,8
improvise,13
do,8
surat/organization,2
go,89
involve,4
assert,4
pertain,1
promise,17
devastate,1
empty,8
draw,2
